Date,Received,Sent,Total,Dial-up
2015-06-26,12815406907,23559436072,36374842979,0
2015-06-25,10368024883,64195340211,74563365094,0
2015-06-24,28305123772,74026103510,102331227282,0
2015-06-23,20171838496,93384088624,113555927120,0
2015-06-22,24453505138,82581883231,107035388369,0
2015-06-21,17853097253,9432045187,27285142440,0
2015-06-20,34674017562,82781763470,117455781032,0
2015-06-19,19723393491,71327751690,91051145181,0
2015-06-18,7591376293,61186105713,68777482006,0
2015-06-17,35864733579,135539775895,171404509474,0
2015-06-16,58904510211,115270953824,174175464035,0
2015-06-15,23577569480,77028109626,100605679106,0
2015-06-14,17708121667,85994175053,103702296720,0
2015-06-13,54390324925,157416387571,211806712496,0
2015-06-12,13879538458,59685234510,73564772968,0
2015-06-11,9171413779,30250205102,39421618881,0
2015-06-10,11056968214,20663620261,31720588475,0
2015-06-09,26888381779,72153030093,99041411872,0
2015-06-08,24409583509,72242777622,96652361131,0
2015-06-07,5982477080,75766528,6058243608,0
2015-06-06,15892314923,47759778434,63652093357,0
2015-06-05,17328007124,45374937161,62702944285,0
2015-06-04,5814769554,33866680795,39681450349,0
2015-06-03,40442277546,83801596885,124243874431,0
2015-06-02,13288255105,61111261179,74399516284,0
2015-06-01,13694928480,97028968720,110723897200,0
2015-05-31,8193811057,75429166,8269240223,0
2015-05-30,12199398426,30382594574,42581993000,0
2015-05-29,7296396203,57725419859,65021816062,0
2015-05-28,13183546667,48943355208,62126901875,0
2015-05-27,6953691393,17207820851,24161512244,0
2015-05-26,10185816919,82030663359,92216480278,0
2015-05-25,13317319340,121742684081,135060003421,0
2015-05-24,29080031634,84788397405,113868429039,0
2015-05-23,32048777127,27384643186,59433420313,0
2015-05-22,6708970067,55889440255,62598410322,0
2015-05-21,5004263425,34356172071,39360435496,0
2015-05-20,12733316980,39695020415,52428337395,0
2015-05-19,16756247579,73356789626,90113037205,0
2015-05-18,27042615442,119390535951,146433151393,0
2015-05-17,8431702999,382816371,8814519370,0
2015-05-16,8815669178,35820378636,44636047814,0
2015-05-15,12045154952,77539027423,89584182375,0
2015-05-14,20057551881,23356134282,43413686163,0
2015-05-13,2781895216,21773870185,24555765401,0
2015-05-12,7494843087,55754283375,63249126462,0
2015-05-11,18787091362,122243758212,141030849574,0
2015-05-10,3027508155,110189011,3137697166,0
2015-05-09,15309967011,86428307171,101738274182,0
2015-05-08,27667379892,120273447896,147940827788,0
2015-05-07,7968844289,76189074282,84157918571,0
2015-05-06,12629539088,80006306103,92635845191,0
2015-05-05,16507530812,70643011016,87150541828,0
2015-05-04,8493840957,47934997724,56428838681,0
2015-05-03,12632933626,15749738240,28382671866,0
2015-05-02,23912438286,95292083698,119204521984,0
2015-05-01,18754759814,123327168686,142081928500,0
2015-04-30,14014831476,63933659581,77948491057,0
2015-04-29,9714404139,69698178971,79412583110,0
2015-04-28,12258369301,138467943624,150726312925,0
2015-04-27,31793387782,41665808208,73459195990,0
2015-04-26,233548989,75860092,309409081,0
2015-04-25,25592543435,39459875046,65052418481,0
2015-04-24,6192615969,71789152420,77981768389,0
2015-04-23,12476115917,56921654155,69397770072,0
2015-04-22,9571401614,30676583080,40247984694,0
2015-04-21,11853021105,89302803078,101155824183,0
2015-04-20,21384058820,98312277064,119696335884,0
2015-04-19,4372578718,15428831708,19801410426,0
2015-04-18,3344370765,14025211776,17369582541,0
2015-04-17,12596990013,10932403694,23529393707,0
2015-04-16,12493434488,22536961722,35030396210,0
2015-04-15,6172225157,192792894,6365018051,0
2015-04-14,8124356579,27790127654,35914484233,0
2015-04-13,2642420413,23812658470,26455078883,0
2015-04-12,2089620997,4857752979,6947373976,0
2015-04-11,17528071245,92413788410,109941859655,0
